avgTricks,S_TotalPoints,W_TotalPoints,N_TotalPoints,E_TotalPoints,S_unprot,W_unprot,N_unprot,E_unprot,S_pos,W_pos,N_pos,E_pos,S_Len_Trump,W_Len_Trump,N_Len_Trump,E_Len_Trump,S_Ace_Rat,W_Ace_Rat,N_Ace_Rat,E_Ace_Rat,trump
8,2,2,1,1,J,,,,TRUE,FALSE,FALSE,TRUE,4,3,5,1,0,0,0,0,S
9,1,1,2,2,J,,J,J,FALSE,TRUE,TRUE,FALSE,2,6,2,3,0,0,0,0,H
10,1,1,1,3,,,,,TRUE,FALSE,TRUE,FALSE,2,3,3,5,0,0,0,0,H
10,1,1,2,1,J,,QQ,,TRUE,TRUE,TRUE,FALSE,2,4,2,5,0,0,0,1,H
9,1,1,2,1,,,,J,TRUE,TRUE,FALSE,FALSE,6,2,2,3,0,0,0,0,H
10,2,1,1,1,J,,Q,,FALSE,FALSE,FALSE,TRUE,1,6,1,5,0,0,0,0,S
10,1,3,2,1,J,,,Q,TRUE,TRUE,FALSE,FALSE,3,2,7,1,1,0,0,0,H
10,1,1,2,0,J,,,,FALSE,TRUE,FALSE,TRUE,4,1,4,4,0,1,0,0,S
8,1,1,1,1,JJJ,Q,Q,,FALSE,TRUE,TRUE,TRUE,6,4,2,1,0,0,0,0,S
12,1,3,0,1,J,,J,,TRUE,FALSE,FALSE,TRUE,2,4,2,5,0,0,0,0,S
11,3,1,0,2,Q,,,,FALSE,FALSE,TRUE,TRUE,2,4,2,5,0,1,0,0,H
10,3,1,0,2,Q,,,,FALSE,FALSE,TRUE,TRUE,2,4,2,5,0,1,0,0,H
10,1,0,2,3,J,Q,,J,FALSE,TRUE,TRUE,FALSE,7,4,2,0,0,0,1,0,C
11,3,1,0,1,J,J,,Q,FALSE,FALSE,FALSE,TRUE,5,1,5,2,0,0,0,0,D
9,2,2,1,0,J,,,,TRUE,TRUE,FALSE,TRUE,4,4,4,1,0,0,0,0,S
9,1,1,1,2,,,,J,FALSE,FALSE,TRUE,TRUE,3,5,1,4,0,0,0,0,S
9,2,2,1,1,K,,,,TRUE,FALSE,FALSE,TRUE,5,0,4,4,0,0,1,0,C
9,1,2,2,1,,J,,,TRUE,TRUE,FALSE,FALSE,6,4,2,1,1,0,0,1,H
11,3,1,1,1,,JJ,J,J,FALSE,FALSE,FALSE,TRUE,2,3,6,2,0,0,0,0,S
10,1,1,2,2,J,,,J,TRUE,TRUE,TRUE,FALSE,4,1,6,2,0,0,0,0,D
10,1,1,2,2,J,,,J,TRUE,TRUE,TRUE,FALSE,4,1,6,2,0,0,0,0,D
8,1,1,2,2,,J,,,TRUE,TRUE,TRUE,FALSE,1,3,4,5,0,1,0,0,S
11,0,3,1,2,,,J,,TRUE,FALSE,TRUE,FALSE,1,6,3,3,0,0,1,0,S
7,2,1,1,2,,J,,,FALSE,FALSE,TRUE,TRUE,4,2,2,5,0,0,0,0,S
9,1,2,1,1,,K,,,TRUE,TRUE,FALSE,FALSE,0,6,2,5,0,0,1,0,H
12,2,0,3,0,J,,Q,,FALSE,TRUE,FALSE,TRUE,3,2,5,3,0,1,0,0,S
9,2,1,1,1,,,JJ,Q,FALSE,TRUE,TRUE,TRUE,7,2,2,2,0,0,0,0,C
